transaction_id,customer_id,transaction_type,amount,date
T001,C001,Deposit,25000,2026-09-01
T002,C002,Withdrawal,15000,2026-09-01
T003,C003,Deposit,45000,2026-09-02
T004,C004,Deposit,75000,2026-09-02
T005,C005,Withdrawal,10000,2026-09-03
T006,C006,Deposit,90000,2026-09-03
T007,C007,Deposit,30000,2026-09-04
T008,C008,Withdrawal,25000,2026-09-04
T009,C001,Withdrawal,5000,2026-09-05
T010,C002,Deposit,55000,2026-09-05
T011,C003,Withdrawal,12000,2026-09-06
T012,C004,Withdrawal,30000,2026-09-06
T013,C005,Deposit,65000,2026-09-07
T014,C006,Withdrawal,20000,2026-09-07
T015,C007,Withdrawal,8000,2026-09-08
T016,C008,Deposit,85000,2026-09-08
T017,C001,Deposit,40000,2026-09-09
T018,C002,Withdrawal,18000,2026-09-09
T019,C003,Deposit,60000,2026-09-10
T020,C004,Deposit,95000,2026-09-10
